epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,82.7915,0.97555,0.651,1,0.7197,0.000415763,0.000415763,0.000415763
2,155.63,0.64365,0.72342,1,0.60893,0.000815947,0.000815947,0.000815947
3,230.918,0.58544,0.76502,1,0.50932,0.00119963,0.00119963,0.00119963
4,306.493,0.52892,0.78659,1,0.45193,0.00117575,0.00117575,0.00117575
5,380.732,0.48113,0.79815,1,0.44285,0.001151,0.001151,0.001151
6,455.705,0.43707,0.83205,1,0.3758,0.00112625,0.00112625,0.00112625
7,531.427,0.43199,0.83359,1,0.36507,0.0011015,0.0011015,0.0011015
8,605.805,0.38699,0.84129,1,0.36041,0.00107675,0.00107675,0.00107675
9,678.943,0.36245,0.84977,1,0.353,0.001052,0.001052,0.001052
10,752.894,0.35608,0.85285,1,0.35689,0.00102725,0.00102725,0.00102725
11,826.121,0.34069,0.87596,1,0.30583,0.0010025,0.0010025,0.0010025
12,898.8,0.30408,0.86826,1,0.30653,0.00097775,0.00097775,0.00097775
13,971.317,0.28591,0.89831,1,0.2618,0.000953,0.000953,0.000953
14,1042.68,0.28374,0.86055,1,0.3289,0.00092825,0.00092825,0.00092825
15,1108.35,0.27306,0.8775,1,0.27445,0.0009035,0.0009035,0.0009035
16,1182.32,0.24242,0.91525,1,0.22384,0.00087875,0.00087875,0.00087875
17,1254.94,0.24089,0.9114,1,0.21704,0.000854,0.000854,0.000854
18,1328.39,0.21347,0.91834,1,0.20833,0.00082925,0.00082925,0.00082925
19,1402.39,0.20363,0.91217,1,0.22036,0.0008045,0.0008045,0.0008045
20,1476.39,0.19311,0.88675,1,0.31211,0.00077975,0.00077975,0.00077975
21,1551.82,0.17742,0.90678,1,0.23589,0.000755,0.000755,0.000755
22,1623.08,0.17456,0.92989,1,0.17152,0.00073025,0.00073025,0.00073025
23,1696.13,0.16422,0.93297,1,0.16655,0.0007055,0.0007055,0.0007055
24,1771.55,0.15049,0.93451,1,0.18183,0.00068075,0.00068075,0.00068075
25,1846.08,0.13661,0.93991,1,0.15982,0.000656,0.000656,0.000656
26,1919.18,0.13771,0.93529,1,0.18119,0.00063125,0.00063125,0.00063125
27,1994.17,0.13297,0.93991,1,0.15546,0.0006065,0.0006065,0.0006065
28,2069.59,0.13048,0.94453,1,0.14241,0.00058175,0.00058175,0.00058175
29,2144.79,0.11432,0.94915,1,0.13772,0.000557,0.000557,0.000557
30,2221.22,0.11227,0.95146,1,0.13116,0.00053225,0.00053225,0.00053225
31,2296.64,0.10771,0.95223,1,0.12127,0.0005075,0.0005075,0.0005075
32,2372.16,0.09736,0.95609,1,0.12145,0.00048275,0.00048275,0.00048275
33,2448.83,0.09285,0.96456,1,0.10142,0.000458,0.000458,0.000458
34,2526.65,0.08719,0.9661,1,0.09892,0.00043325,0.00043325,0.00043325
35,2606.35,0.08132,0.96764,1,0.0891,0.0004085,0.0004085,0.0004085
36,2674.17,0.08166,0.96841,1,0.08836,0.00038375,0.00038375,0.00038375
37,2740.83,0.08711,0.96841,1,0.08919,0.000359,0.000359,0.000359
38,2819.28,0.0686,0.9661,1,0.09366,0.00033425,0.00033425,0.00033425
39,2894.55,0.07446,0.97072,1,0.09356,0.0003095,0.0003095,0.0003095
40,2975.87,0.05964,0.96687,1,0.09214,0.00028475,0.00028475,0.00028475
41,3069.54,0.05812,0.97304,1,0.0794,0.00026,0.00026,0.00026
42,3133.15,0.0619,0.96995,1,0.08585,0.00023525,0.00023525,0.00023525
43,3200.2,0.04966,0.97227,1,0.0783,0.0002105,0.0002105,0.0002105
44,3266.37,0.05516,0.97072,1,0.08298,0.00018575,0.00018575,0.00018575
45,3333.13,0.05077,0.97149,1,0.07692,0.000161,0.000161,0.000161
46,3400.22,0.04962,0.97304,1,0.07076,0.00013625,0.00013625,0.00013625
47,3465.81,0.0456,0.97304,1,0.06838,0.0001115,0.0001115,0.0001115
48,3531.65,0.04584,0.97227,1,0.07009,8.675e-05,8.675e-05,8.675e-05
49,3597.41,0.04688,0.97304,1,0.07351,6.2e-05,6.2e-05,6.2e-05
50,3663.16,0.04624,0.97381,1,0.06854,3.725e-05,3.725e-05,3.725e-05
