epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,101.963,0.91878,0.74231,1,0.56323,0.000416265,0.000416265,0.000416265
2,196.819,0.6314,0.77854,1,0.51325,0.000791702,0.000791702,0.000791702
3,287.283,0.56062,0.81203,1,0.42833,0.00112589,0.00112589,0.00112589
4,377.105,0.50517,0.80861,1,0.4268,0.00106437,0.00106437,0.00106437
5,467.102,0.45,0.83254,1,0.38721,0.0010025,0.0010025,0.0010025
6,557.716,0.39407,0.85304,1,0.33662,0.000940625,0.000940625,0.000940625
7,648.161,0.34728,0.85919,1,0.31857,0.00087875,0.00087875,0.00087875
8,738.891,0.30724,0.87697,1,0.32073,0.000816875,0.000816875,0.000816875
9,829.684,0.2736,0.90841,1,0.2195,0.000755,0.000755,0.000755
10,920.487,0.23252,0.92686,1,0.20826,0.000693125,0.000693125,0.000693125
11,1036.43,0.18739,0.93575,1,0.16248,0.00063125,0.00063125,0.00063125
12,1127.22,0.161,0.9501,1,0.14035,0.000569375,0.000569375,0.000569375
13,1218.48,0.13407,0.95284,1,0.13856,0.0005075,0.0005075,0.0005075
14,1310.06,0.11221,0.96172,1,0.10719,0.000445625,0.000445625,0.000445625
15,1400.8,0.09857,0.96582,1,0.10919,0.00038375,0.00038375,0.00038375
16,1491.47,0.08633,0.96582,1,0.09628,0.000321875,0.000321875,0.000321875
17,1582.77,0.07056,0.97676,1,0.07482,0.00026,0.00026,0.00026
18,1674.35,0.05482,0.97266,1,0.0791,0.000198125,0.000198125,0.000198125
19,1765.98,0.05471,0.97881,1,0.06873,0.00013625,0.00013625,0.00013625
20,1857.68,0.04376,0.98154,1,0.06188,7.4375e-05,7.4375e-05,7.4375e-05
